"","Name","Description"
"115","ENSG00000116285.8","ERRFI1"
"136","ENSG00000142657.16","PGD"
"167","ENSG00000028137.12","TNFRSF1B"
"199","ENSG00000162493.12","PDPN"
"216","ENSG00000162458.8","FBLIM1"
"253","ENSG00000169991.6","IFFO2"
"285","ENSG00000117298.10","ECE1"
"291","ENSG00000142798.12","HSPG2"
"355","ENSG00000197245.4","FAM110D"
"372","ENSG00000175793.10","SFN"
"384","ENSG00000142733.10","MAP3K6"
"387","ENSG00000181773.6","GPR3"
"404","ENSG00000130766.4","SESN2"
"445","ENSG00000084623.7","EIF3I"
"505","ENSG00000196182.6","STK40"
"511","ENSG00000163874.8","ZC3H12A"
"530","ENSG00000116954.7","RRAGC"
"617","ENSG00000173846.8","PLK3"
"619","ENSG00000222009.4","BTBD19"
"639","ENSG00000117461.10","PIK3R3"
"717","ENSG00000248835.2","AL357673.1"
"743","ENSG00000177606.5","JUN"
"785","ENSG00000116717.7","GADD45A"
"822","ENSG00000162616.8","DNAJB4"
"831","ENSG00000203943.4","SAMD13"
"862","ENSG00000162645.8","GBP2"
"886","ENSG00000154511.7","FAM69A"
"894","ENSG00000023909.5","GCLM"
"924","ENSG00000162695.7","SLC30A7"
"975","ENSG00000184371.9","CSF1"
"1149","ENSG00000143382.9","ADAMTSL4"
"1151","ENSG00000143384.8","MCL1"
"1165","ENSG00000197622.8","CDC42SE1"
"1244","ENSG00000163220.10","S100A9"
"1245","ENSG00000163221.7","S100A12"
"1246","ENSG00000143546.5","S100A8"
"1255","ENSG00000188643.6","S100A16"
"1264","ENSG00000143554.9","SLC27A3"
"1268","ENSG00000143570.13","SLC39A1"
"1281","ENSG00000160712.8","IL6R"
"1292","ENSG00000160691.14","SHC1"
"1333","ENSG00000160789.15","LMNA"
"1343","ENSG00000163468.10","CCT3"
"1356","ENSG00000143319.12","ISG20L2"
"1397","ENSG00000163565.14","IFI16"
"1400","ENSG00000213088.5","DARC"
"1414","ENSG00000158710.10","TAGLN2"
"1440","ENSG00000158769.13","F11R"
"1449","ENSG00000158796.12","DEDD"
"1466","ENSG00000173110.6","HSPA6"
"1482","ENSG00000132196.9","HSD17B7"
"1558","ENSG00000135870.7","RC3H1"
"1564","ENSG00000235750.5","KIAA0040"
"1579","ENSG00000057252.8","SOAT1"
"1603","ENSG00000143333.6","RGS16"
"1632","ENSG00000073756.7","PTGS2"
"1639","ENSG00000116741.6","RGS2"
"1680","ENSG00000269690.1","AC096677.1"
"1706","ENSG00000133048.8","CHI3L1"
"1708","ENSG00000159388.5","BTG2"
"1754","ENSG00000143479.11","DYRK3"
"1755","ENSG00000162889.6","MAPKAPK2"
"1777","ENSG00000123689.5","G0S2"
"1798","ENSG00000162772.12","ATF3"
"1903","ENSG00000143641.8","GALNT2"
"2079","ENSG00000115758.8","ODC1"
"2118","ENSG00000118961.10","C2orf43"
"2162","ENSG00000084693.11","AGBL5"
"2193","ENSG00000198522.9","GPN1"
"2201","ENSG00000075426.7","FOSL2"
"2230","ENSG00000150938.5","CRIM1"
"2251","ENSG00000115875.14","SRSF7"
"2338","ENSG00000162924.9","REL"
"2388","ENSG00000059728.6","MXD1"
"2437","ENSG00000065911.7","MTHFD2"
"2541","ENSG00000196843.11","ARID5A"
"2589","ENSG00000115594.7","IL1R1"
"2592","ENSG00000115604.6","IL18R1"
"2599","ENSG00000135972.4","MRPS9"
"2617","ENSG00000169756.12","LIMS1"
"2625","ENSG00000144063.3","MALL"
"2638","ENSG00000188177.9","ZC3H6"
"2768","ENSG00000115963.9","RND3"
"2784","ENSG00000153234.9","NR4A2"
"2897","ENSG00000155636.10","RBM45"
"2967","ENSG00000144381.12","HSPD1"
"2968","ENSG00000115541.6","HSPE1"
"3006","ENSG00000055044.6","NOP58"
"3081","ENSG00000135926.8","TMBIM1"
"3083","ENSG00000018280.12","SLC11A1"
"3088","ENSG00000115556.9","PLCD4"
"3165","ENSG00000067066.12","SP100"
"3303","ENSG00000134107.4","BHLHE40"
"3410","ENSG00000033867.12","SLC4A7"
"3452","ENSG00000172936.8","MYD88"
"3465","ENSG00000144655.10","CSRNP1"
"3504","ENSG00000185219.11","ZNF445"
"3506","ENSG00000196345.8","ZKSCAN7"
"3509","ENSG00000169981.6","ZNF35"
"3549","ENSG00000160799.7","CCDC12"
"3625","ENSG00000001617.7","SEMA3F"
"3643","ENSG00000114737.11","CISH"
"3646","ENSG00000145050.11","MANF"
"3697","ENSG00000162290.12","DCP1A"
"3725","ENSG00000168291.8","PDHB"
"3744","ENSG00000163638.9","ADAMTS9"
"3752","ENSG00000163378.9","EOGT"
"3821","ENSG00000114354.8","TFG"
"3831","ENSG00000144802.7","NFKBIZ"
"3897","ENSG00000144837.4","PLA1A"
"3905","ENSG00000163430.5","FSTL1"
"3928","ENSG00000163840.5","DTX3L"
"3950","ENSG00000189366.5","ALG1L"
"3970","ENSG00000058262.5","SEC61A1"
"3976","ENSG00000163902.7","RPN1"
"4079","ENSG00000152952.7","PLOD2"
"4082","ENSG00000188313.8","PLSCR1"
"4094","ENSG00000169908.6","TM4SF1"
"4136","ENSG00000163659.8","TIPARP"
"4140","ENSG00000163661.3","PTX3"
"4175","ENSG00000184378.2","ACTRT3"
"4195","ENSG00000075420.8","FNDC3B"
"4251","ENSG00000163882.5","POLR2H"
"4266","ENSG00000136527.13","TRA2B"
"4271","ENSG00000090520.6","DNAJB11"
"4287","ENSG00000113916.13","BCL6"
"4304","ENSG00000127252.4","HRASLS"
"4314","ENSG00000041802.6","LSG1"
"4390","ENSG00000168884.10","TNIP2"
"4424","ENSG00000163993.6","S100P"
"4425","ENSG00000178988.10","MRFAP1L1"
"4437","ENSG00000125089.12","SH3TC1"
"4469","ENSG00000071127.12","WDR1"
"4490","ENSG00000002549.8","LAP3"
"4522","ENSG00000181826.5","RELL1"
"4678","ENSG00000169429.6","IL8"
"4681","ENSG00000163739.4","CXCL1"
"4686","ENSG00000081041.8","CXCL2"
"4724","ENSG00000163291.10","PAQR3"
"4778","ENSG00000180346.2","TIGD2"
"4818","ENSG00000109320.7","NFKB1"
"4860","ENSG00000145365.10","TIFA"
"4875","ENSG00000150961.10","SEC24D"
"4922","ENSG00000151014.4","CCRN4L"
"4938","ENSG00000109445.6","ZNF330"
