"","Name","Description"
"38","ENSG00000205116.3","TMEM88B"
"932","ENSG00000243480.3","AMY2A"
"2346","ENSG00000170264.8","FAM161A"
"2821","ENSG00000123607.10","TTC21B"
"3347","ENSG00000144559.6","TAMM41"
"5147","ENSG00000215217.2","C5orf49"
"5547","ENSG00000197208.5","SLC22A4"
"5892","ENSG00000182230.7","FAM153B"
"6235","ENSG00000213780.6","GTF2H4"
"7324","ENSG00000198874.8","TYW1"
"7561","ENSG00000168255.14","POLR2J3"
"9616","ENSG00000099290.11","FAM21A"
"9969","ENSG00000148843.9","PDCD11"
"12704","ENSG00000134873.5","CLDN10"
"13883","ENSG00000140406.2","MESDC1"
"14952","ENSG00000167840.9","ZNF232"
"14953","ENSG00000129204.12","USP6"
"15298","ENSG00000154768.4","C17orf50"
"15683","ENSG00000183691.4","NOG"
"17071","ENSG00000090932.6","DLL3"
"18353","ENSG00000159267.10","HLCS"
"18919","ENSG00000214717.5","ZBED1"
"19022","ENSG00000130741.6","EIF2S3"
