"","Name","Description"
"219","ENSG00000183888.4","C1orf64"
"224","ENSG00000142627.9","EPHA2"
"278","ENSG00000158825.5","CDA"
"287","ENSG00000162551.9","ALPL"
"390","ENSG00000000938.8","FGR"
"429","ENSG00000142910.11","TINAGL1"
"548","ENSG00000168389.13","MFSD2A"
"585","ENSG00000117394.15","SLC2A1"
"591","ENSG00000066056.9","TIE1"
"699","ENSG00000174348.9","PODN"
"700","ENSG00000162383.7","SLC1A7"
"827","ENSG00000162618.8","ELTD1"
"864","ENSG00000162654.8","GBP4"
"896","ENSG00000137962.8","ARHGAP29"
"1088","ENSG00000143127.8","ITGA10"
"1262","ENSG00000169418.9","NPR1"
"1282","ENSG00000169291.5","SHE"
"1364","ENSG00000187800.9","PEAR1"
"1646","ENSG00000000971.11","CFH"
"1773","ENSG00000174059.12","CD34"
"1830","ENSG00000136630.11","HLX"
"2073","ENSG00000172059.6","KLF11"
"2111","ENSG00000132031.8","MATN3"
"2287","ENSG00000116016.9","EPAS1"
"2815","ENSG00000082438.11","COBLL1"
"2829","ENSG00000163072.10","NOSTRIN"
"2954","ENSG00000168497.4","SDPR"
"3153","ENSG00000135917.9","SLC19A3"
"3370","ENSG00000154783.6","FGD5"
"3416","ENSG00000163513.13","TGFBR2"
"3422","ENSG00000170293.4","CMTM8"
"3426","ENSG00000182973.14","CNOT10"
"3550","ENSG00000160796.12","NBEAL2"
"3632","ENSG00000114378.12","HYAL1"
"3633","ENSG00000068001.9","HYAL2"
"3677","ENSG00000010319.2","SEMA3G"
"3813","ENSG00000168386.14","FILIP1L"
"3854","ENSG00000144824.15","PHLDB2"
"3945","ENSG00000173706.8","HEG1"
"3974","ENSG00000179348.7","GATA2"
"4093","ENSG00000163762.2","TM4SF18"
"4174","ENSG00000085276.13","MECOM"
"4323","ENSG00000072274.8","TFRC"
"4722","ENSG00000138772.8","ANXA3"
"4770","ENSG00000118777.6","ABCG2"
"4813","ENSG00000164035.5","EMCN"
"4817","ENSG00000138821.8","SLC39A8"
"4850","ENSG00000205403.8","CFI"
"5252","ENSG00000213949.4","ITGA1"
"5292","ENSG00000164181.9","ELOVL7"
"5347","ENSG00000178175.7","ZNF366"
"5710","ENSG00000120318.11","ARAP3"
"5752","ENSG00000157510.9","AFAP1L1"
"5972","ENSG00000165810.12","BTNL9"
"5987","ENSG00000054598.5","FOXC1"
"6021","ENSG00000096696.9","DSP"
"6023","ENSG00000153162.8","BMP6"
"6072","ENSG00000137393.8","RNF144B"
"6219","ENSG00000204592.5","HLA-E"
"6225","ENSG00000137343.13","ATAT1"
"6293","ENSG00000243649.4","CFB"
"6313","ENSG00000204301.5","NOTCH4"
"6511","ENSG00000112782.11","CLIC5"
"6521","ENSG00000069122.14","GPR116"
"6551","ENSG00000065308.4","TRAM2"
"6657","ENSG00000135336.10","ORC3"
