"","Name","Description"
"1258","ENSG00000160678.7","S100A1"
"2515","ENSG00000144115.12","THNSL2"
"3414","ENSG00000206559.3","ZCWPW2"
"3453","ENSG00000172939.4","OXSR1"
"3722","ENSG00000163686.9","ABHD6"
"4347","ENSG00000114473.9","IQCG"
"4366","ENSG00000127418.10","FGFRL1"
"4388","ENSG00000063978.11","RNF4"
"4616","ENSG00000084093.11","REST"
"5976","ENSG00000146063.14","TRIM41"
"6397","ENSG00000112078.9","KCTD20"
"6510","ENSG00000124813.16","RUNX2"
"6736","ENSG00000155115.6","GTF3C6"
"7244","ENSG00000106633.11","GCK"
"7324","ENSG00000198874.8","TYW1"
"7334","ENSG00000188763.3","FZD9"
"8043","ENSG00000197217.8","ENTPD4"
"11030","ENSG00000171533.7","MAP6"
"13101","ENSG00000154001.9","PPP2R5E"
"13472","ENSG00000169857.3","AVEN"
"14198","ENSG00000103174.7","NAGPA"
"14319","ENSG00000122254.6","HS3ST2"
"15541","ENSG00000108312.10","UBTF"
"15630","ENSG00000173868.7","PHOSPHO1"
"16688","ENSG00000132003.5","ZSWIM4"
"16765","ENSG00000131351.10","HAUS8"
"16987","ENSG00000105254.7","TBCB"
"16990","ENSG00000196357.7","ZNF565"
"17031","ENSG00000179168.10","GGN"
"17268","ENSG00000182013.13","PNMAL1"
"18683","ENSG00000100281.9","HMGXB4"
