"","rank","genedescription","numcor","genename"
"1",1,"SLCO4A1",2238,"ENSG00000101187.11"
"2",2,"FKBP5",2087,"ENSG00000096060.10"
"3",3,"IL4R",1993,"ENSG00000077238.9"
"4",4,"SOCS3",1754,"ENSG00000184557.3"
"5",5,"SLC52A3",1549,"ENSG00000101276.10"
"6",6,"PLA1A",1494,"ENSG00000144837.4"
"7",7,"ACSL5",1459,"ENSG00000197142.6"
"8",8,"MPZL2",1427,"ENSG00000149573.4"
"9",9,"TNFRSF6B",1414,"ENSG00000243509.4"
"10",10,"UBTF",1413,"ENSG00000108312.10"
"11",11,"IRAK3",1406,"ENSG00000090376.4"
"12",12,"SLC26A2",1325,"ENSG00000155850.7"
"13",13,"C10orf10",1307,"ENSG00000165507.8"
"14",14,"OSMR",1293,"ENSG00000145623.8"
"15",15,"ADAMTS9",1270,"ENSG00000163638.9"
"16",16,"GPR4",1227,"ENSG00000177464.4"
"17",17,"CEBPD",1211,"ENSG00000221869.4"
"18",18,"CDK2",1205,"ENSG00000123374.6"
"19",19,"CHSY1",1178,"ENSG00000131873.5"
"20",20,"MAFF",1158,"ENSG00000185022.7"
"21",21,"TNFRSF10D",1135,"ENSG00000173530.5"
"22",22,"CRISPLD2",1117,"ENSG00000103196.7"
"23",23,"MT1A",1046,"ENSG00000205362.6"
"24",24,"YBX3",1013,"ENSG00000060138.8"
"25",25,"GADD45B",1005,"ENSG00000099860.4"
"26",26,"LRRC17",978,"ENSG00000128606.8"
"27",27,"SLC11A1",964,"ENSG00000018280.12"
"28",28,"PDK4",949,"ENSG00000004799.7"
"29",29,"PER1",945,"ENSG00000179094.9"
"30",30,"ITPKC",944,"ENSG00000086544.2"
"31",31,"PLIN2",942,"ENSG00000147872.5"
"32",32,"HILPDA",930,"ENSG00000135245.9"
"33",33,"IL1R1",901,"ENSG00000115594.7"
"34",34,"EVA1C",893,"ENSG00000166979.8"
"35",35,"IL18R1",884,"ENSG00000115604.6"
"36",36,"PDLIM1",881,"ENSG00000107438.4"
"37",37,"PIM1",868,"ENSG00000137193.9"
"38",38,"FOSL2",866,"ENSG00000075426.7"
"39",39,"HLA-C",864,"ENSG00000204525.10"
"40",40,"ARID5A",859,"ENSG00000196843.11"
"41",41,"IFITM2",850,"ENSG00000185201.12"
"42",42,"SCML1",850,"ENSG00000047634.10"
"43",43,"GADD45G",842,"ENSG00000130222.6"
"44",44,"PNP",837,"ENSG00000198805.7"
"45",45,"ATOH8",824,"ENSG00000168874.8"
"46",46,"SBNO2",804,"ENSG00000064932.11"
"47",47,"BCL3",803,"ENSG00000069399.8"
"48",48,"SLC1A7",770,"ENSG00000162383.7"
"49",49,"NAMPT",760,"ENSG00000105835.7"
"50",50,"SH3TC1",754,"ENSG00000125089.12"
"51",51,"NAMPTL",753,"ENSG00000229644.4"
"52",52,"NAGS",733,"ENSG00000161653.6"
"53",53,"IL15RA",722,"ENSG00000134470.15"
"54",54,"CXCL1",721,"ENSG00000163739.4"
"55",55,"SEMA3F",707,"ENSG00000001617.7"
"56",56,"MAP3K6",705,"ENSG00000142733.10"
"57",57,"N6AMT1",700,"ENSG00000156239.7"
"58",58,"SERPINB9",683,"ENSG00000170542.5"
"59",59,"REXO4",678,"ENSG00000148300.7"
"60",60,"CD93",678,"ENSG00000125810.9"
"61",61,"NFIL3",675,"ENSG00000165030.3"
"62",62,"S100A9",674,"ENSG00000163220.10"
"63",63,"ELOVL7",668,"ENSG00000164181.9"
"64",64,"CISH",659,"ENSG00000114737.11"
"65",65,"GVQW1",651,"ENSG00000241043.1"
"66",66,"KIF19",644,"ENSG00000196169.10"
"67",67,"S100A8",638,"ENSG00000143546.5"
"68",68,"IL6R",638,"ENSG00000160712.8"
"69",69,"FPR1",637,"ENSG00000171051.4"
"70",70,"CDKN1A",636,"ENSG00000124762.9"
"71",71,"NCOA5",629,"ENSG00000124160.7"
"72",72,"DARC",627,"ENSG00000213088.5"
"73",73,"TM4SF1",625,"ENSG00000169908.6"
"74",74,"TGM2",609,"ENSG00000198959.7"
"75",75,"SHC1",607,"ENSG00000160691.14"
"76",76,"F11R",602,"ENSG00000158769.13"
"77",77,"STX11",602,"ENSG00000135604.9"
"78",78,"SLC16A14",600,"ENSG00000163053.6"
"79",79,"VWF",594,"ENSG00000110799.9"
"80",80,"CXCL2",580,"ENSG00000081041.8"
"81",81,"CP",576,"ENSG00000047457.9"
"82",82,"BCL6",569,"ENSG00000113916.13"
"83",83,"EMP1",567,"ENSG00000134531.5"
"84",84,"PLSCR1",566,"ENSG00000188313.8"
"85",85,"SERPINB1",562,"ENSG00000021355.8"
"86",86,"ANGPTL4",562,"ENSG00000167772.7"
"87",87,"AL357673.1",560,"ENSG00000248835.2"
"88",88,"ING4",559,"ENSG00000111653.15"
"89",89,"GRAMD1A",551,"ENSG00000089351.10"
"90",90,"PAPSS2",546,"ENSG00000198682.8"
"91",91,"LDLR",542,"ENSG00000130164.7"
"92",92,"SERPINA3",540,"ENSG00000196136.12"
"93",93,"MLKL",535,"ENSG00000168404.8"
"94",94,"NFKBIA",534,"ENSG00000100906.6"
"95",95,"MYC",531,"ENSG00000136997.10"
"96",96,"MTA2",512,"ENSG00000149480.2"
"97",97,"SOCS2",498,"ENSG00000120833.9"
"98",98,"ITPRIP",495,"ENSG00000148841.11"
"99",99,"HYAL2",493,"ENSG00000068001.9"
"100",100,"NEDD9",493,"ENSG00000111859.12"
"101",101,"GPR85",490,"ENSG00000164604.8"
"102",102,"RPGR",490,"ENSG00000156313.8"
"103",103,"PXN",486,"ENSG00000089159.11"
"104",104,"RERGL",473,"ENSG00000111404.2"
"105",105,"HSPG2",470,"ENSG00000142798.12"
"106",106,"TNFRSF10A",469,"ENSG00000104689.5"
"107",107,"FOSL1",469,"ENSG00000175592.4"
"108",108,"IER3",468,"ENSG00000137331.11"
"109",109,"CCL2",468,"ENSG00000108691.5"
"110",110,"CSRNP1",465,"ENSG00000144655.10"
"111",111,"CDA",463,"ENSG00000158825.5"
"112",112,"LCN6",461,"ENSG00000267206.1"
"113",113,"ICAM1",456,"ENSG00000090339.4"
"114",114,"ZFP3",452,"ENSG00000180787.5"
"115",115,"C2orf43",446,"ENSG00000118961.10"
"116",116,"C5orf54",442,"ENSG00000221886.3"
"117",117,"TUBB6",438,"ENSG00000176014.8"
"118",118,"SLC30A7",437,"ENSG00000162695.7"
"119",119,"EDN3",429,"ENSG00000124205.11"
"120",120,"SULT1A1",428,"ENSG00000196502.7"
"121",121,"ADAMTSL4",426,"ENSG00000143382.9"
"122",122,"TAP1",426,"ENSG00000168394.9"
"123",123,"RBMS2",424,"ENSG00000076067.7"
"124",124,"ITGA1",420,"ENSG00000213949.4"
"125",125,"NFKBIZ",416,"ENSG00000144802.7"
"126",126,"S100A12",415,"ENSG00000163221.7"
"127",127,"PIM3",415,"ENSG00000198355.4"
"128",128,"RBM3",409,"ENSG00000102317.13"
"129",129,"MAP3K8",405,"ENSG00000107968.5"
"130",130,"CDC42EP5",405,"ENSG00000167617.2"
"131",131,"EPHB3",399,"ENSG00000182580.2"
"132",132,"ZFP36",396,"ENSG00000128016.4"
"133",133,"ITGA5",395,"ENSG00000161638.6"
"134",134,"PLAUR",393,"ENSG00000011422.7"
"135",135,"SRGN",388,"ENSG00000122862.4"
"136",136,"CASP4",387,"ENSG00000196954.8"
"137",137,"RBM4",380,"ENSG00000173933.15"
"138",138,"PIK3R3",379,"ENSG00000117461.10"
"139",139,"MT1X",379,"ENSG00000187193.8"
"140",140,"COL4A1",377,"ENSG00000187498.10"
"141",141,"RAB20",377,"ENSG00000139832.3"
